Transaction Date,Month,Bar Code,Equipment Id,Umoja EqpNo,Plate #,Asset #,Long Description,Owner Type,Owner Name,Location Id,TP Sub Type,Section/Unit,Receiving Person,Dest Odometer,Odometer Unit,Fuel Qty,Qty Unit,Full Tank,Std. FCU,Tolerance %,Adj. Std. FCU,FCU UOM,Txn FCU,ODO Diff,Monthly FCU,Transaction Id,Overconsumption %,Overconsumption Liter
05-05-23,2023 / 05,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-103254,304849,km,134,litre,Y,11.5,20,13.8,litre/100 km,10.0074683,1339,10.0074683,0103770004396658213L5-1683273505593-762,,
13-08-22,2022 / 08,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-103030,272864,km,99,litre,Y,11.5,20,13.8,litre/100 km,3.5986914,2751,3.5986914,0103770004396658213UN-1660370510224-3875,,
08-06-23,2023 / 06,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-103261,310725,km,124,litre,Y,11.5,20,13.8,litre/100 km,2.1102791,5876,2.1102791,0103770004396658213L5-1686211007332-1237,,
28-04-23,2023 / 04,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-103266,303510,km,148,litre,Y,11.5,20,13.8,litre/100 km,1.2189096,12142,1.2189096,0103770004396658213L5-1682666720214-721,,
24-01-23,2023 / 01,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-103043,291368,km,81,litre,Y,11.5,20,13.8,litre/100 km,0.4377432,18504,0.4377432,0103770004396658213UN-1674569578623-4819,,
27-07-22,2022 / 07,00677399-0-1,00677399,17051376,UN 503,MIT 11067,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,MFR,MS1-102940,270113,km,124,litre,Y,11.5,20,13.8,litre/100 km,0.3541946,35009,0.3541946,0103770004396658213UN-1658897106609-3768,,
22-06-23,2023 / 06,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8468,221902,km,134,litre,Y,11.5,20,13.8,litre/100 km,15.5092593,864,10.4360608,0103770004396658213L5-1687420083175-1299,12.38593696,14.76800035
29-05-23,2023 / 05,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8260,218704,km,142,litre,Y,11.5,20,13.8,litre/100 km,10.7331822,1323,10.7331822,0103770004396658214TF-1685347944288-182,,
06-06-23,2023 / 06,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8461,219861,km,118,litre,Y,11.5,20,13.8,litre/100 km,10.19879,1157,,0103770004396658213L5-1686038237937-1213,,
05-05-23,2023 / 05,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8468,217381,km,127,litre,Y,11.5,20,13.8,litre/100 km,10.1195219,1255,,0103770004396658213L5-1683290801005-763,,
13-03-23,2023 / 03,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8260,212812,km,128,litre,Y,11.5,20,13.8,litre/100 km,10.0078186,1279,,0103770004396658214TF-1678704799636-25,,
23-03-23,2023 / 03,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8260,214025,km,118,litre,Y,11.5,20,13.8,litre/100 km,9.7279472,1213,,0103770004396658213O7-1679562588585-18,,
28-02-23,2023 / 02,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8004,211533,km,108,litre,Y,11.5,20,13.8,litre/100 km,9.5829636,1127,9.5829636,0103770004396658213UN-1677575099593-5035,,
14-06-23,2023 / 06,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8461,221038,km,79,litre,Y,11.5,20,13.8,litre/100 km,6.7119796,1177,,0103770004396658214SR-1686730088596-165,,
22-02-23,2023 / 02,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8219,210406,km,116,litre,Y,11.5,20,13.8,litre/100 km,0.3317224,34969,,0103770004396658213UN-1677054439446-4997,,
27-04-23,2023 / 04,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8468,216126,km,108,litre,Y,11.5,20,13.8,litre/100 km,0.0554933,194618,0.0554933,0103770004396658213L5-1682582361231-714,,
31-03-23,2023 / 03,00677514-0-1,00677514,17051378,UN 726,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,Denia,,UNPOL,POL-8461,21508,km,104,litre,Y,11.5,20,13.8,litre/100 km,-0.0540212,-192517,-0.1160457,0103770004396658213L5-1680250441139-376,,
05-08-22,2022 / 08,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,219088,km,109,litre,Y,11.5,20,13.8,litre/100 km,13.8149556,789,,0103770004396658214T9-1659709384207-161,0.108373913,0.117999684
31-10-22,2022 / 10,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,ICV-1478,222236,km,127,litre,Y,11.5,20,13.8,litre/100 km,13.2845188,956,13.2845188,0103770004396658214T9-1667196912822-411,,
23-07-22,2022 / 07,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,218299,km,100,litre,Y,11.5,20,13.8,litre/100 km,12.9701686,771,12.9701686,0103770004396658214T9-1658562972516-127,,
05-07-22,2022 / 07,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,217528,km,152,litre,Y,11.5,20,13.8,litre/100 km,12.4183007,1224,,0103770004396658213O7-1657020079686-3055,,
08-12-22,2022 / 12,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,223206,km,119,litre,Y,11.5,20,13.8,litre/100 km,12.2680412,970,,01037700043966582174N-1670489194826-594,,
23-12-22,2022 / 12,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401755,224080,km,95,litre,Y,11.5,20,13.8,litre/100 km,10.8695652,874,,0103770004396658215LU-1671783717886-1114,,
15-01-23,2023 / 01,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401780,226830,km,94,litre,Y,11.5,20,13.8,litre/100 km,10.421286,902,,0103770004396658215LU-1673769639583-1144,,
29-01-23,2023 / 01,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401735,228765,km,76,litre,Y,11.5,20,13.8,litre/100 km,10.2425876,742,10.1868171,0103770004396658215LU-1675000387369-1174,,
31-12-22,2022 / 12,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401861,224933,km,87,litre,Y,11.5,20,13.8,litre/100 km,10.1992966,853,10.5385061,01037700043966582173Y-1672479085642-887,,
23-01-23,2023 / 01,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401670,228023,km,119,litre,Y,11.5,20,13.8,litre/100 km,9.9748533,1193,,0103770004396658215LU-1674478079683-1168,,
08-01-23,2023 / 01,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,MS4-401861,225928,km,94,litre,Y,11.5,20,13.8,litre/100 km,9.4472362,995,,0103770004396658215LU-1673171721379-1134,,
27-09-22,2022 / 09,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,221280,km,135,litre,Y,11.5,20,13.8,litre/100 km,0.06775,199262,0.06775,0103770004396658214T9-1664269762547-296,,
30-08-22,2022 / 08,01537957-0-1,01537957,,UN 025,MIT 11069,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,LCV-2109,22018,km,144,litre,Y,11.5,20,13.8,litre/100 km,-0.0730705,-197070,-0.0730705,0103770004396658214T9-1661844612794-196,,
19-07-22,2022 / 07,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8219,348717,km,80,litre,Y,11.5,20,13.8,litre/100 km,11.7820324,679,11.2343967,0103770004396658213H2-1658243321321-729,,
16-09-22,2022 / 09,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8202,356259,km,83,litre,Y,11.5,20,13.8,litre/100 km,11.2162162,740,,0103770004396658213UN-1663315966494-4042,,
31-08-22,2022 / 08,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8202,354329,km,105,litre,Y,11.5,20,13.8,litre/100 km,11.1228814,944,8.6617583,0103770004396658213H2-1661931404934-777,,
10-09-22,2022 / 09,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8219,355519,km,128,litre,Y,11.5,20,13.8,litre/100 km,10.7563025,1190,,0103770004396658213UN-1662797748750-4015,,
13-07-22,2022 / 07,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8219,348038,km,82,litre,Y,11.5,20,13.8,litre/100 km,10.7470511,763,,0103770004396658213UN-1657701238090-3699,,
02-08-22,2022 / 08,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8009,349711,km,106,litre,Y,11.5,20,13.8,litre/100 km,10.6639839,994,,0103770004396658213L5-1659451333260-1081,,
26-08-22,2022 / 08,01537956-0-1,01537956,,UN 726,CYP 07269,4X4 ON/OFF ROAD,UN,UNFICYP,UNPA,,UNPA,POL-8004,353385,km,125,litre,Y,11.5,20,13.8,litre/100 km,10.5663567,1183,,0103770004396658213H2-1661510286062-767,,
